,indices
E02000988,955
E02000989,956
E02000990,957
E02000991,958
E02000992,959
E02000993,960
E02000994,961
E02000995,962
E02000996,963
E02000997,964
E02000998,965
E02000999,966
E02001000,967
E02001001,968
E02001002,969
E02001003,970
E02001004,971
E02001005,972
E02001006,973
E02001007,974
E02001008,975
E02001009,976
E02001010,977
E02001011,978
E02001012,979
E02001013,980
E02001014,981
E02001015,982
E02001016,983
E02001017,984
E02001018,985
E02001019,986
E02001020,987
E02001021,988
E02001022,989
E02001023,990
E02001024,991
E02001025,992
E02001026,993
E02001027,994
E02001028,995
E02001029,996
E02001030,997
E02001031,998
E02001032,999
E02001033,1000
E02001034,1001
E02001035,1002
E02001036,1003
E02001037,1004
E02001038,1005
E02001039,1006
E02001040,1007
E02001041,1008
E02001042,1009
E02001043,1010
E02001044,1011
E02001045,1012
E02001046,1013
E02001047,1014
E02001048,1015
E02001049,1016
E02001050,1017
E02001051,1018
E02001052,1019
E02001053,1020
E02001055,1021
E02001056,1022
E02001057,1023
E02001059,1024
E02001061,1025
E02001062,1026
E02001063,1027
E02001064,1028
E02001065,1029
E02001066,1030
E02001067,1031
E02001068,1032
E02001069,1033
E02001070,1034
E02001071,1035
E02001072,1036
E02001073,1037
E02001074,1038
E02001075,1039
E02001076,1040
E02001077,1041
E02001078,1042
E02001079,1043
E02001080,1044
E02001081,1045
E02001082,1046
E02001083,1047
E02001084,1048
E02001085,1049
E02001086,1050
E02001087,1051
E02001088,1052
E02001089,1053
E02001090,1054
E02001091,1055
E02001092,1056
E02001093,1057
E02001094,1058
E02001095,1059
E02001096,1060
E02001097,1061
E02001098,1062
E02001099,1063
E02001100,1064
E02001101,1065
E02001102,1066
E02001103,1067
E02001104,1068
E02001105,1069
E02001106,1070
E02001107,1071
E02001108,1072
E02001109,1073
E02001110,1074
E02001111,1075
E02001112,1076
E02001113,1077
E02001114,1078
E02001115,1079
E02001116,1080
E02001117,1081
E02001118,1082
E02001119,1083
E02001121,1084
E02001123,1085
E02001124,1086
E02001125,1087
E02001126,1088
E02001127,1089
E02001128,1090
E02001129,1091
E02001130,1092
E02001131,1093
E02001132,1094
E02001133,1095
E02001134,1096
E02001135,1097
E02001136,1098
E02001137,1099
E02001138,1100
E02001139,1101
E02001140,1102
E02001141,1103
E02001142,1104
E02001143,1105
E02001144,1106
E02001145,1107
E02001146,1108
E02001147,1109
E02001148,1110
E02001149,1111
E02001150,1112
E02001151,1113
E02001152,1114
E02001153,1115
E02001154,1116
E02001155,1117
E02001156,1118
E02001157,1119
E02001158,1120
E02001159,1121
E02001160,1122
E02001161,1123
E02001162,1124
E02001163,1125
E02001164,1126
E02001165,1127
E02001166,1128
E02001167,1129
E02001168,1130
E02001169,1131
E02001170,1132
E02001171,1133
E02001172,1134
E02001173,1135
E02001174,1136
E02001175,1137
E02001176,1138
E02001177,1139
E02001178,1140
E02001179,1141
E02001180,1142
E02001181,1143
E02001182,1144
E02001183,1145
E02001184,1146
E02001185,1147
E02001186,1148
E02001187,1149
E02001188,1150
E02001189,1151
E02001190,1152
E02001191,1153
E02001192,1154
E02001193,1155
E02001194,1156
E02001195,1157
E02001196,1158
E02001197,1159
E02001198,1160
E02001199,1161
E02001200,1162
E02001201,1163
E02001202,1164
E02001203,1165
E02001204,1166
E02001205,1167
E02001206,1168
E02001207,1169
E02001208,1170
E02001209,1171
E02001210,1172
E02001211,1173
E02001212,1174
E02001213,1175
E02001214,1176
E02001215,1177
E02001216,1178
E02001217,1179
E02001218,1180
E02001219,1181
E02001220,1182
E02001221,1183
E02001222,1184
E02001223,1185
E02001224,1186
E02001225,1187
E02001226,1188
E02001227,1189
E02001228,1190
E02001229,1191
E02001230,1192
E02001231,1193
E02001232,1194
E02001233,1195
E02001234,1196
E02001235,1197
E02001236,1198
E02001237,1199
E02001238,1200
E02001239,1201
E02001240,1202
E02001241,1203
E02001242,1204
E02001243,1205
E02001244,1206
E02001245,1207
E02001246,1208
E02001247,1209
E02001248,1210
E02001249,1211
E02001250,1212
E02001251,1213
E02001252,1214
E02001253,1215
E02001254,1216
E02001255,1217
E02001256,1218
E02001257,1219
E02001258,1220
E02001259,1221
E02001260,1222
E02001261,1223
E02001262,1224
E02001263,1225
E02001264,1226
E02001265,1227
E02001266,1228
E02001267,1229
E02001268,1230
E02001269,1231
E02001270,1232
E02001271,1233
E02001272,1234
E02001273,1235
E02001274,1236
E02001275,1237
E02001276,1238
E02001277,1239
E02001278,1240
E02001279,1241
E02001280,1242
E02001281,1243
E02001282,1244
E02001283,1245
E02001284,1246
E02001285,1247
E02001286,1248
E02001287,1249
E02001288,1250
E02001289,1251
E02001290,1252
E02001291,1253
E02001292,1254
E02001293,1255
E02001294,1256
E02001295,1257
E02001296,1258
E02001297,1259
E02001298,1260
E02001299,1261
E02001300,1262
E02001301,1263
E02001302,1264
E02001303,1265
E02001304,1266
E02001305,1267
E02001306,1268
E02001307,1269
E02001308,1270
E02001309,1271
E02001310,1272
E02001311,1273
E02001312,1274
E02001313,1275
E02001314,1276
E02001315,1277
E02001316,1278
E02001317,1279
E02001318,1280
E02001319,1281
E02001320,1282
E02001321,1283
E02001322,1284
E02001323,1285
E02001324,1286
E02001325,1287
E02001326,1288
E02001327,1289
E02001328,1290
E02001329,1291
E02001330,1292
E02001331,1293
E02001332,1294
E02001333,1295
E02001334,1296
E02001335,1297
E02001336,1298
E02001337,1299
E02001338,1300
E02001339,1301
E02001340,1302
E02001341,1303
E02001342,1304
E02001343,1305
E02001344,1306
E02001345,1307
E02001346,1308
E02001347,1309
E02001348,1310
E02001349,1311
E02001350,1312
E02001351,1313
E02001352,1314
E02001353,1315
E02001354,1316
E02001355,1317
E02001356,1318
E02001357,1319
E02001358,1320
E02001359,1321
E02001360,1322
E02001361,1323
E02001362,1324
E02001363,1325
E02001364,1326
E02001365,1327
E02001366,1328
E02001367,1329
E02001368,1330
E02001369,1331
E02001370,1332
E02001371,1333
E02001372,1334
E02001373,1335
E02001374,1336
E02001375,1337
E02001376,1338
E02001377,1339
E02001378,1340
E02001380,1341
E02001381,1342
E02001382,1343
E02001383,1344
E02001384,1345
E02001385,1346
E02001386,1347
E02001387,1348
E02001388,1349
E02001389,1350
E02001390,1351
E02001391,1352
E02001392,1353
E02001393,1354
E02001394,1355
E02001395,1356
E02001396,1357
E02001397,1358
E02001398,1359
E02001399,1360
E02001400,1361
E02001401,1362
E02001402,1363
E02001403,1364
E02001404,1365
E02001405,1366
E02001406,1367
E02001407,1368
E02001408,1369
E02001409,1370
E02001410,1371
E02001411,1372
E02001412,1373
E02001413,1374
E02001414,1375
E02001415,1376
E02001416,1377
E02001417,1378
E02001418,1379
E02001419,1380
E02001420,1381
E02001421,1382
E02001422,1383
E02001423,1384
E02001424,1385
E02001425,1386
E02001426,1387
E02001427,1388
E02001428,1389
E02001429,1390
E02001430,1391
E02001431,1392
E02001432,1393
E02001433,1394
E02001434,1395
E02001435,1396
E02001436,1397
E02001437,1398
E02001438,1399
E02001439,1400
E02001440,1401
E02001441,1402
E02001442,1403
E02001443,1404
E02001444,1405
E02001445,1406
E02001446,1407
E02001447,1408
E02001448,1409
E02001449,1410
E02001450,1411
E02001451,1412
E02001452,1413
E02001453,1414
E02001454,1415
E02001455,1416
E02001456,1417
E02001457,1418
E02001458,1419
E02001459,1420
E02001460,1421
E02001461,1422
E02001462,1423
E02001463,1424
E02001464,1425
E02001465,1426
E02001466,1427
E02001467,1428
E02001468,1429
E02001469,1430
E02001470,1431
E02001471,1432
E02001472,1433
E02001473,1434
E02001474,1435
E02001475,1436
E02001476,1437
E02001477,1438
E02001478,1439
E02001479,1440
E02001480,1441
E02001481,1442
E02001482,1443
E02001483,1444
E02001484,1445
E02001485,1446
E02001486,1447
E02001487,1448
E02001488,1449
E02001489,1450
E02001490,1451
E02001491,1452
E02001492,1453
E02001493,1454
E02001494,1455
E02001495,1456
E02001496,1457
E02001497,1458
E02001498,1459
E02001499,1460
E02001500,1461
E02001501,1462
E02001502,1463
E02001503,1464
E02001504,1465
E02001505,1466
E02001506,1467
E02001507,1468
E02001508,1469
E02001509,1470
E02001510,1471
E02001511,1472
E02001512,1473
E02001513,1474
E02001514,1475
E02001515,1476
E02001516,1477
E02001517,1478
E02001518,1479
E02001519,1480
E02001520,1481
E02001521,1482
E02001522,1483
E02001523,1484
E02001524,1485
E02001525,1486
E02001526,1487
E02001527,1488
E02001528,1489
E02001529,1490
E02001530,1491
E02001531,1492
E02001532,1493
E02001533,1494
E02001534,1495
E02001535,1496
E02001536,1497
E02001537,1498
E02001538,1499
E02001539,1500
E02001540,1501
E02001541,1502
E02001542,1503
E02001543,1504
E02001544,1505
E02001545,1506
E02001546,1507
E02001547,1508
E02001548,1509
E02001549,1510
E02001550,1511
E02001551,1512
E02001552,1513
E02001553,1514
E02001554,1515
E02001555,1516
E02001556,1517
E02001557,1518
E02001558,1519
E02001559,1520
E02001560,1521
E02001561,1522
E02001562,1523
E02001563,1524
E02001564,1525
E02001565,1526
E02001566,1527
E02001567,1528
E02001568,1529
E02001569,1530
E02001570,1531
E02001571,1532
E02001572,1533
E02001573,1534
E02001574,1535
E02001575,1536
E02001576,1537
E02001577,1538
E02001578,1539
E02001579,1540
E02001580,1541
E02001581,1542
E02001582,1543
E02001583,1544
E02001584,1545
E02001585,1546
E02001586,1547
E02001587,1548
E02001588,1549
E02001589,1550
E02001590,1551
E02001591,1552
E02001592,1553
E02001593,1554
E02001594,1555
E02001595,1556
E02001596,1557
E02001597,1558
E02001598,1559
E02001599,1560
E02001600,1561
E02001601,1562
E02001602,1563
E02001603,1564
E02001604,1565
E02001605,1566
E02001606,1567
E02001607,1568
E02001608,1569
E02001609,1570
E02001610,1571
E02001611,1572
E02001612,1573
E02001613,1574
E02001614,1575
E02001615,1576
E02001616,1577
E02001617,1578
E02001618,1579
E02001619,1580
E02001620,1581
E02001621,1582
E02001622,1583
E02001623,1584
E02001624,1585
E02001625,1586
E02001626,1587
E02001627,1588
E02001628,1589
E02001629,1590
E02001630,1591
E02001631,1592
E02001632,1593
E02001633,1594
E02001634,1595
E02001635,1596
E02001636,1597
E02001637,1598
E02001638,1599
E02001639,1600
E02001640,1601
E02001642,1602
E02001643,1603
E02001646,1604
E02001647,1605
E02001648,1606
E02001649,1607
E02001650,1608
E02001651,1609
E02001652,1610
E02001653,1611
E02001654,1612
E02001655,1613
E02001656,1614
E02001657,1615
E02001658,1616
E02001659,1617
E02001660,1618
E02001661,1619
E02001662,1620
E02001663,1621
E02001664,1622
E02001665,1623
E02001666,1624
E02001669,1625
E02001670,1626
E02001671,1627
E02001672,1628
E02001673,1629
E02001674,1630
E02001675,1631
E02001676,1632
E02001678,1633
E02001679,1634
E02001680,1635
E02001681,1636
E02001682,1637
E02001683,1638
E02001684,1639
E02001685,1640
E02001686,1641
E02001688,1642
E02001689,1643
E02001690,1644
E02001691,1645
E02001692,1646
E02001693,1647
E02001694,1648
E02001695,1649
E02001696,1650
E02001697,1651
E02001698,1652
E02001699,1653
E02001700,1654
E02001701,1655
E02001702,1656
E02001703,1657
E02001704,1658
E02001705,1659
E02001706,1660
E02001707,1661
E02001708,1662
E02001709,1663
E02001710,1664
E02001711,1665
E02001712,1666
E02001713,1667
E02001714,1668
E02001715,1669
E02001718,1670
E02001719,1671
E02001720,1672
E02001721,1673
E02001722,1674
E02001723,1675
E02001724,1676
E02001725,1677
E02001726,1678
E02001727,1679
E02001728,1680
E02001729,1681
E02001730,1682
E02001731,1683
E02001732,1684
E02001733,1685
E02001734,1686
E02001735,1687
E02001736,1688
E02001737,1689
E02001738,1690
E02001739,1691
E02001740,1692
E02001741,1693
E02001742,1694
E02001743,1695
E02001744,1696
E02001745,1697
E02001746,1698
E02001747,1699
E02001748,1700
E02001749,1701
E02001750,1702
E02001751,1703
E02001752,1704
E02001753,1705
E02001754,1706
E02001755,1707
E02001756,1708
E02001757,1709
E02001758,1710
E02001759,1711
E02001760,1712
E02001761,1713
E02001762,1714
E02001763,1715
E02001764,1716
E02001765,1717
E02001766,1718
E02001767,1719
E02001768,1720
E02001769,1721
E02001770,1722
E02001771,1723
E02001772,1724
E02001773,1725
E02001774,1726
E02001775,1727
E02001776,1728
E02001777,1729
E02001778,1730
E02001779,1731
E02001780,1732
E02001781,1733
E02001782,1734
E02001783,1735
E02001784,1736
E02001785,1737
E02001786,1738
E02001787,1739
E02001788,1740
E02001789,1741
E02001790,1742
E02001791,1743
E02001792,1744
E02001793,1745
E02001794,1746
E02001795,1747
E02001796,1748
E02001797,1749
E02001798,1750
E02001799,1751
E02001800,1752
E02001801,1753
E02001802,1754
E02001803,1755
E02001804,1756
E02001805,1757
E02001806,1758
E02001807,1759
E02001808,1760
E02001809,1761
E02001810,1762
E02001811,1763
E02001812,1764
E02001813,1765
E02001814,1766
E02001815,1767
E02001816,1768
E02001817,1769
E02001818,1770
E02001819,1771
E02001820,1772
E02001821,1773
E02001822,1774
E02001823,1775
E02001824,1776
E02001825,1777
E02001826,1778
E02001827,1779
E02001828,1780
E02001829,1781
E02001830,1782
E02001831,1783
E02001832,1784
E02001833,1785
E02001834,1786
E02001835,1787
E02001836,1788
E02001837,1789
E02001838,1790
E02001839,1791
E02001840,1792
E02001841,1793
E02001842,1794
E02001843,1795
E02001844,1796
E02001845,1797
E02001846,1798
E02001847,1799
E02001848,1800
E02001849,1801
E02001850,1802
E02001851,1803
E02001852,1804
E02001854,1805
E02001855,1806
E02001856,1807
E02001857,1808
E02001858,1809
E02001859,1810
E02001860,1811
E02001861,1812
E02001862,1813
E02001863,1814
E02001864,1815
E02001865,1816
E02001866,1817
E02001867,1818
E02001868,1819
E02001869,1820
E02001870,1821
E02001871,1822
E02001872,1823
E02001873,1824
E02001874,1825
E02001875,1826
E02001876,1827
E02001877,1828
E02001878,1829
E02001879,1830
E02001880,1831
E02001881,1832
E02001882,1833
E02001883,1834
E02001884,1835
E02001886,1836
E02001888,1837
E02001889,1838
E02001890,1839
E02001892,1840
E02001893,1841
E02001895,1842
E02001896,1843
E02001897,1844
E02001898,1845
E02001899,1846
E02001900,1847
E02001901,1848
E02001902,1849
E02001903,1850
E02001904,1851
E02001905,1852
E02001906,1853
E02001907,1854
E02001908,1855
E02001909,1856
E02001910,1857
E02001911,1858
